100%	0.10	95%	0.30	90%	0.35	80%	0.50	70%	0.65	60%	0.70	50%	0.90	
100%	0.10	95%	0.20	90%	0.40	80%	0.50	70%	0.65	60%	0.75	50%	0.90	
100%	0.10	95%	0.30	90%	0.40	80%	0.50	70%	0.55	60%	0.75	50%	0.90	
100%	0.20	95%	0.30	90%	0.55	80%	0.75	70%	0.85	60%	1.00	50%	1.00	
100%	0.05	95%	0.20	90%	0.35	80%	0.45	70%	0.50	60%	0.65	50%	0.85	
100%	0.05	95%	0.05	90%	0.20	80%	0.45	70%	0.60	60%	0.75	50%	0.95	
100%	0.05	95%	0.10	90%	0.35	80%	0.45	70%	0.60	60%	0.75	50%	0.95	
100%	0.15	95%	0.20	90%	0.40	80%	0.60	70%	0.85	60%	0.95	50%	1.00	
100%	0.20	95%	0.40	90%	0.45	80%	0.60	70%	0.80	60%	1.00	50%	1.00	
100%	0.05	95%	0.10	90%	0.35	80%	0.45	70%	0.50	60%	0.60	50%	0.85	
100%	0.05	95%	0.15	90%	0.35	80%	0.45	70%	0.50	60%	0.55	50%	0.70	
100%	0.20	95%	0.30	90%	0.50	80%	0.70	70%	0.80	60%	0.90	50%	1.00	
100%	0.15	95%	0.25	90%	0.45	80%	0.65	70%	0.90	60%	1.00	50%	1.00	
100%	0.05	95%	0.15	90%	0.30	80%	0.45	70%	0.60	60%	0.70	50%	0.90	
100%	0.10	95%	0.15	90%	0.35	80%	0.55	70%	0.75	60%	0.95	50%	1.00	
100%	0.05	95%	0.15	90%	0.30	80%	0.45	70%	0.75	60%	0.90	50%	1.00	
100%	0.20	95%	0.25	90%	0.40	80%	0.50	70%	0.70	60%	0.90	50%	1.00	
100%	0.10	95%	0.10	90%	0.25	80%	0.40	70%	0.55	60%	0.70	50%	0.95	
100%	0.10	95%	0.20	90%	0.30	80%	0.40	70%	0.50	60%	0.60	50%	0.85	
100%	0.10	95%	0.25	90%	0.40	80%	0.50	70%	0.75	60%	0.90	50%	1.00	
100%	0.05	95%	0.25	90%	0.35	80%	0.45	70%	0.60	60%	0.70	50%	0.90	
100%	0.05	95%	0.05	90%	0.30	80%	0.50	70%	0.60	60%	0.75	50%	1.00	
100%	0.10	95%	0.20	90%	0.40	80%	0.55	70%	0.85	60%	1.00	50%	1.00	
100%	0.10	95%	0.25	90%	0.35	80%	0.55	70%	0.65	60%	0.70	50%	0.95	
100%	0.20	95%	0.35	90%	0.40	80%	0.50	70%	0.70	60%	0.85	50%	0.95	
100%	0.15	95%	0.25	90%	0.40	80%	0.65	70%	0.85	60%	0.95	50%	1.00	
100%	0.20	95%	0.30	90%	0.45	80%	0.60	70%	0.75	60%	0.85	50%	1.00	
